通衢隧道左洞出口坡面滑塌防护工程 - 劳务清包工报价单(不含主材)
编制:2026-05-29 | 有效期:30天 | 新疆偏远矿区上浮系数1.25

序号,编码,项目名称,项目描述,单位,工程量,人工费(元/单位),辅材费(元/单位),机械费(元/单位),综合单价,合价(元),施工方案备注
【二、系梁工程】
9,2.1,C30混凝土系梁(模板+浇筑+养护),桩顶系梁连接各抗滑桩形成整体，不含C30主材,m³,148.5,255,42,28,325,48262.5,(1)桩顶凿毛→(2)放线→(3)支设底模+侧模→(4)钢筋绑扎验收→(5)C30浇筑→(6)振捣→(7)收面→(8)养护≥7d→(9)拆模
10,2.2,系梁HRB400钢筋(制作+绑扎),系梁受力筋+构造筋，不含HRB400主材,t,24.12,1100,60,42,1202,28992.24,(1)加工场下料→(2)弹线定位→(3)绑扎(先主筋后箍筋)→(4)垫块→(5)预埋件→(6)验收
11,2.3,系梁HPB300钢筋(制作+绑扎),系梁箍筋+拉筋，不含HPB300主材,t,1.25,1100,55,42,1197,1496.25,同系梁HRB400工艺
小计,,二、系梁工程,,,,65774.5,7752.95,5223.54,,78750.99
【三、挡土板工程】
12,3.1,C30混凝土挡土板(模板+浇筑+养护),桩间挡土板连接抗滑桩形成整体挡土结构，不含C30主材,m³,376.0,275,45,32,352,132352.0,(1)预埋件清理→(2)放线→(3)支模→(4)钢筋→(5)浇筑→(6)振捣→(7)养护→(8)拆模→(9)回填夹实
13,3.2,挡土板HRB400钢筋(制作+绑扎),挡土板受力筋+分布筋，不含HRB400主材,t,56.59,1100,60,42,1202,68021.18,同系梁工艺，与桩身预埋筋有效连接
14,3.3,挡土板HPB300钢筋(制作+绑扎),挡土板分布筋+拉筋，不含HPB300主材,t,3.07,1100,55,42,1197,3674.79,同HRB400工艺
小计,,三、挡土板工程,,,,169026.0,20484.25,14537.72,,204047.97
【四、冠梁工程】
15,4.1,C30混凝土冠梁(模板+浇筑+养护),桩顶冠梁连接桩顶形成整体受力体系，不含C30主材,m³,193.5,260,42,28,330,63855.0,(1)桩顶浮浆凿除→(2)调直钢筋→(3)放线→(4)支模→(5)钢筋连接→(6)浇筑→(7)振捣→(8)收面→(9)养护
16,4.2,冠梁HRB400钢筋(制作+绑扎),冠梁受力筋+构造筋，不含HRB400主材,t,25.67,1100,60,42,1202,30855.34,同系梁工艺
17,4.3,冠梁HPB300钢筋(制作+绑扎),冠梁箍筋，不含HPB300主材,t,1.19,1100,55,42,1197,1424.43,同HRB400工艺
小计,,四、冠梁工程,,,,79856.0,9732.65,6546.12,,96134.77
【五、边坡喷锚防护工程】
18,5.1,C25喷射混凝土(厚15cm，含清理+挂网+喷射+养护),坡面C25喷射混凝土厚15cm，含坡面清理、挂网、分层喷射、养护，不含C25喷射砞主材，速凝剂劳务方提供,m³,1475.0,210,55,80,345,508875.0,(1)搭设脚手架→(2)坡面清理→(3)铺Φ8@200钢筋网→(4)埋设泄水孔Φ50PVC@2x2m→(5)分层喷射C25(先5cm→15cm)→(6)养护≥7d
19,5.2,Φ8钢筋网(@20x20cm) 制作铺设,坡面钢筋网片，加工铺设绑扎固定，不含Φ8HPB300主材,t,36.87,920,42,22,984,36280.08,(1)钢筋调直→(2)切断@200x200→(3)坡面铺设(由上至下)→(4)搭接≥30d→(5)扎丝绑扎→(6)与锚杆焊接→(7)垫块保护层≥3cm
20,5.3,锚杆Φ25 L=9m(钻孔+安装+注浆)HRB400,含钻孔清孔安放注浆封锚，不含Φ25主材，水泥浆劳务方自供,t,14.32,8800,5800,5200,19800,283536.0,(1)钻机就位(倾角15-25°)→(2)钻孔(孔径≥90mm)→(3)风清孔→(4)安锚杆(对中支架@2m)→(5)注浆(0.3-0.5MPa)→(6)补浆→(7)封锚→(8)抗拔试验(3%)
小计,,五、边坡喷锚防护工程,,,,469686.4,165729.54,193275.14,,828691.08

总计,,共20项,,,,5217869.2,571411.33,801048.57,,6590329.1

"人工费合计:5,217,869元(79%) | 辅材费合计:571,411元(9%) | 机械费合计:801,048元(12%)"
"劳务清包工总报价:6,590,329元"
